	Sound_file	Length (s)	Transcription	nr_words	words per second	preprocessed_transcription	asr_output	asr_output_preprocessed	jiWER	pyWER	myWER
93	140_20141120.wav.pcm	23	with indications to council about how the E P P O should be shaped and how it should work to get the approval of parliament when the moment comes, in particular the council was asked to keep the parliament fully involved in negotiations. So today we have invited the commission and the council presidency to update our new rapporteur for the E P P O, miss Monica Macovei, who is here	71	3.08695652173913	with indications to council about how the e p p o should be shaped and how it should work to get the approval of parliament when the moment comes in particular the council was asked to keep the parliament fully involved in negotiations so today we have invited the commission and the council presidency to update our new rapporteur for the e p p o miss monica macovei who is here			1.0	1.0	1.0
92	139_20141120.wav.pcm	28	pursuing to article eighty six, one of the proposals agreed by member states of the council, it’s sent to parliament for consent and this is not a codecision procedure but a consent procedure just to underline that for colleagues who are are new to that, the last term, the parliament adopted a resolution, and colleagues will remember that it was mister Jakalino, who was our rapporteur in the last mandate, this was on the basis of rule eighty one of the rules of procedure	84	3.0	pursuing to article eighty six one of the proposals agreed by member states of the council it s sent to parliament for consent and this is not a codecision procedure but a consent procedure just to underline that for colleagues who are are new to that the last term the parliament adopted a resolution and colleagues will remember that it was mister jakalino who was our rapporteur in the last mandate this was on the basis of rule eighty one of the rules of procedure			1.0	1.0	1.0
91	138_20141120.wav.pcm	28	okay colleagues lets begin, I’m sorry for the delay ehm, we will just begin on the, missus, .. , missus Macovei is here, we will start on the item of the european public prosecutors office, as all of you know the commission presented in july last year its proposals for the establishment of the E P P O on the basis of article eighty six of the treaties	68	2.42857142857143	okay colleagues lets begin i m sorry for the delay ehm we will just begin on the missus missus macovei is here we will start on the item of the european public prosecutors office as all of you know the commission presented in july last year its proposals for the establishment of the e p p o on the basis of article eighty six of the treaties			1.0	1.0	1.0
53	042_20140925.wav.pcm	22	let me just say a few words about the future if you allow me at the moment we are developing our next (…) extensive consultation exercise, which involved our key stakeholders. 	32	1.45454545454545	let me just say a few words about the future if you allow me at the moment we are developing our next extensive consultation exercise which involved our key stakeholders 	LET ME JUST SAY A FEW WORDS ABOUT THE FUTURE IF YOU ALLOW ME AT THE MOMENT WE ARE DEVELOPING OUR NEXT SWEEK ALISA AT MISS VILLIP OW IN ISTATAGIET A TE FAINO PREVEMPTE HID MARMINGLY FAINTE O SETACHA AND FAINO TO ANTACHE  EXTENSIVE CONSULTATION EXERCISE WHICH INVOLVED OUR KEY STATE HOLD US	let me just say a few words about the future if you allow me at the moment we are developing our next sweek alisa at miss villip ow in istatagiet a te faino prevempte hid marmingly fainte o setacha and faino to antache extensive consultation exercise which involved our key state hold us	0.8064516129032258	0.8064516129032258	0.78125
61	240_20141016.wav.pcm	21	so I am going straight to Olympia Monaco now. (…) Good morning everyone, I am Olympia Monaco, I am a judge, I have been a public magistrate, and now I work for the ministry for justice, at the moment and we look at international	44	2.0952380952381	so i am going straight to olympia monaco now good morning everyone i am olympia monaco i am a judge i have been a public magistrate and now i work for the ministry for justice at the moment and we look at international	SUBJISCRULY GO STRAIGHT TO WHA BEOBODICAL I WUNTER MAR PUTI E GOOD MORNING EVERY ONE I'M OLYMPIAMONICO I'M A JUDGE I'VE BEEN A PUBLIC CIR MAGISTRATE AND I WORKED FOR THE MINISTRY FOR JUSTICE AT THE MOMENT WHEN WE LOOK AT INTERNATIONAL	subjiscruly go straight to wha beobodical i wunter mar puti e good morning every one i m olympiamonico i m a judge i ve been a public cir magistrate and i worked for the ministry for justice at the moment when we look at international	0.6590909090909091	0.6590909090909091	0.6590909090909091
0	016_20140701.wav.pcm	22	I would like to propose on behalf of the snd group our colleague claude moraes as chair of this committee, miss zippal, claude moraes our colleague from snd is nominated, any other nominations	33	1.5	i would like to propose on behalf of the snd group our colleague claude moraes as chair of this committee miss zippal claude moraes our colleague from snd is nominated any other nominations	I WOULD LIKE TO PROPOSE ON BEHALF OF THIES AND GROUP OUR COLLYCLODE MORRALDS AS CHAIR OF THIS COMMITTEE WON'T MISSUS ZIPPL A CLODE MORRADUS OUR AR COLLEAGUE FROM A SUNDAY WAS NOMINATED ANY OTHER A NOMINATIONS	i would like to propose on behalf of thies and group our collyclode morralds as chair of this committee won t missus zippl a clode morradus our ar colleague from a sunday was nominated any other a nominations	0.6060606060606061	0.6060606060606061	0.6060606060606061
68	247_20141016.wav.pcm	15	during the negotiations, there haven’t been any major specific problems, there aren’t technical legal issues that are difficult to deal with, that’s often the case whenever you are looking at 	31	2.06666666666667	during the negotiations there haven t been any major specific problems there aren t technical legal issues that are difficult to deal with that s often the case whenever you are looking at 	DURING THE NEGOTIATIONS I HAVEN'T BEEN ANY MAJURE SPECIFIC PROBLEMS THE RANC TECHNICAL LEGAL ISSUE'S AT HER VERY DIFFICULT TO DEAL WITH THAT'S OFTEN THE CASE WHENEVER YOU'RE LOOKING AT A	during the negotiations i haven t been any majure specific problems the ranc technical legal issue s at her very difficult to deal with that s often the case whenever you re looking at a	0.6	0.6	0.5806451612903226
19	018_20140714.wav.pcm	17	thank you very much, Rachi, and madame Reichert, we now have the opening of the questions, you are going to be making an initial statement, for the LIBE committee obvious fundamental rights portfolio is extremely important and you are gonna make a 	43	2.52941176470588	thank you very much rachi and madame reichert we now have the opening of the questions you are going to be making an initial statement for the libe committee obvious fundamental rights portfolio is extremely important and you are gonna make a 	THANK YOU VERY MUCH RARCHE AND MADAM RYCART WE NOW HAVE THE OPENING OF THE A QUESTIONS AND YOURE GOING TO MAKE AN INITIAL STATEMENT AND AND FOR THE LEBA COMMITTEE OF S FUNDAMENTAL RIGHTS BUT PROBLY IT WAS EXTREMELY IMPORTANT AND YOUCAN MAKER	thank you very much rarche and madam rycart we now have the opening of the a questions and youre going to make an initial statement and and for the leba committee of s fundamental rights but probly it was extremely important and youcan maker	0.5952380952380952	0.5952380952380952	0.6046511627906976
49	010_20140915.wav.pcm	27	Where we would have to have a debate so, but I do share the concerns and I think you are right to raise then, for your group to raise them, so if there are no other objections, I don’t want to open a debate on it today so, I think that a lot of colleagues and substitutes have come just for the vote today and I have a number of other announcements. So with that point being well raised I think I will move on. 	86	3.18518518518519	where we would have to have a debate so but i do share the concerns and i think you are right to raise then for your group to raise them so if there are no other objections i don t want to open a debate on it today so i think that a lot of colleagues and substitutes have come just for the vote today and i have a number of other announcements so with that point being well raised i think i will move on 	AN WHERE WE WOULD HAVE TO HAVE A DEBATE SO  BUT I DO SHARE THE CONCERNS A YOU RIGHT TO RAISE THEM AND FOR OUGRIP TO RAISE THEM AD SO IF THERE ARE NO OTHER OBJECTIONS I DON'T WANT TO OPEN TO BAT ANNA TO DAY SO I THINK WE HAVE TO MOVE ON BECAUSE I THINK A LOT OF FAIR COLLEES AND SUBSTITUTES HAVE COME JUST FOR THE VOT TO DAY AND HAVE A NUMBER OF OTHER ANNOUNCEMENTS SO WITH THAT POINT AND BEING WELL RAISED I THINK I'LL MOVE ON TE	an where we would have to have a debate so but i do share the concerns a you right to raise them and for ougrip to raise them ad so if there are no other objections i don t want to open to bat anna to day so i think we have to move on because i think a lot of fair collees and substitutes have come just for the vot to day and have a number of other announcements so with that point and being well raised i think i ll move on te	0.5529411764705883	0.5529411764705883	0.5465116279069767
6	022_20140701.wav.pcm	20	first of all, thank you kinga and thank you colleagues for this huge privilege to be elected chair of the libe committee, before I proceed to the election of vice chairs, which I don’t want to delay because we have	40	2.0	first of all thank you kinga and thank you colleagues for this huge privilege to be elected chair of the libe committee before i proceed to the election of vice chairs which i don t want to delay because we have	HE EFIRST BOL THANK YOU A KINGER AND THANK YOU COLLEAGUES FOR THIS SEN HUGE E PRIVILEGE A TO BE ELECT TO CHEER OF THE LIBY COMMITTEE HEM BEFORE I A PROCEED TO THE ELECTION OF THE VICE CHAIRS WHICH I DON'T WANT TO DELAY BECAUSE WE HAVE A	he efirst bol thank you a kinger and thank you colleagues for this sen huge e privilege a to be elect to cheer of the liby committee hem before i a proceed to the election of the vice chairs which i don t want to delay because we have a	0.55	0.55	0.55
31	449_20140904.wav.pcm	18	and, finally I would like to get to know about the point of prisons, about the prisons, because the economic crisis, because the austerity policy has brought about a lot of deterioration of prison conditions in a number of member states of the European Union	45	2.5	and finally i would like to get to know about the point of prisons about the prisons because the economic crisis because the austerity policy has brought about a lot of deterioration of prison conditions in a number of member states of the european union	AND FINALLY I WOULD LIKE TO AGET TO KNOW ABOUT THE POINT OF PRISONS ABOUT THE POINT OF PRISONS BECAUSE THE ECONOMIC CRISIS BECAUSE THE AUSTURDY POLICY HAS BROUGHT ABOT A LOFE TERIORATION AL PRESSIAN CONDITIONS AND ARE OF EMPACIT AN YOR OPINION	and finally i would like to aget to know about the point of prisons about the point of prisons because the economic crisis because the austurdy policy has brought abot a lofe terioration al pressian conditions and are of empacit an yor opinion	0.5333333333333333	0.5333333333333333	0.5333333333333333
12	010_20140714.wav.pcm	20	I would also, I would also like to greet the members of the JURI committee, LIBE committee and the FEMM committee, but first of all also madam Martine Reicherts the comissionary designate	32	1.6	i would also i would also like to greet the members of the juri committee libe committee and the femm committee but first of all also madam martine reicherts the comissionary designate	I WOULD ALSO AI WOULD ALSO LIKE TO AGREE THE MEMBERS OF THE URI COMMITTEE A LIBECOMMITTEE AND TO THE FOM COMMITTEE BUT E FIRST OF ALL ALSO A MADAME MARTINE RECERDS THE COMMISSIONER DESIGNATE	i would also ai would also like to agree the members of the uri committee a libecommittee and to the fom committee but e first of all also a madame martine recerds the commissioner designate	0.53125	0.53125	0.53125
1	017_20140701.wav.pcm	27	no, I ask then the nominated candidate whether he agrees to being nominated, I accept, thank you claude, I state that the candidate fulfilled the necessary preconditions concerning the declaration of financial interests and is full member of this committee	40	1.48148148148148	no i ask then the nominated candidate whether he agrees to being nominated i accept thank you claude i state that the candidate fulfilled the necessary preconditions concerning the declaration of financial interests and is full member of this committee	NO I ASK THAN A A DENOMINATED CANDIDE WETHER HE AGREES TO BEING NOMINATED I EXECT THANK YOU LOD I STATE THAT E A THE CANDI DATE FULFEARS THE NECESSARY PRECONDITIONS CONCERNING THE DECLARATION OF FINANCIAL INTEREST AND THIS FULL MEMBER OF THIS COMMETEE	no i ask than a a denominated candide wether he agrees to being nominated i exect thank you lod i state that e a the candi date fulfears the necessary preconditions concerning the declaration of financial interest and this full member of this commetee	0.525	0.525	0.525
89	207_20141110.wav.pcm	29	and strengthening the preparation of technical experts extremely important when eh it is dealt with eh sometimes complicated border management issues, for internal security the third one, annual work program for internal security found on police a cooparation, that amount two forty nine point five almost fifty milion	48	1.6551724137931	and strengthening the preparation of technical experts extremely important when eh it is dealt with eh sometimes complicated border management issues for internal security the third one annual work program for internal security found on police a cooparation that amount two forty nine point five almost fifty milion	AND A STRENGTHENING THE PREPARATION OF TECHNICAL EXPELSE EXTREMELY IMPORTANT WHEN A IT IS DEALT WITH A SOMETIMES COMPLICATED BORDER MANAGEMENT EIR ISSUES FOR INTERNASECURITY THE FITOIN A ANUOR WOR PROGAN FOR INTENASECURITI FOUND ON PORISACOPERATION THAT THE THAT FOUND A THAT AMOUNTS AR TWO FORTY NINE APOINT FIVE ALMOST FIFTY MILLION	and a strengthening the preparation of technical expelse extremely important when a it is dealt with a sometimes complicated border management eir issues for internasecurity the fitoin a anuor wor progan for intenasecuriti found on porisacoperation that the that found a that amounts ar two forty nine apoint five almost fifty million	0.5208333333333334	0.5208333333333334	0.5208333333333334
82	095_20141110.wav.pcm	18	our website has also been reorganized and redesigned in order to give a better overview of the different procedures, and we have received feedback from the different applicants, that eh they are really	33	1.8333333333333302	our website has also been reorganized and redesigned in order to give a better overview of the different procedures and we have received feedback from the different applicants that eh they are really	OUL WEBSIDE HAS ALSO BEEN REORGANISED THAN RE DESIGN IN ORDER TO GIVE A BETTER OVER VIEW OF THE DIFFERENT PROCEEDURES AND TER WE HAVE RECEIVED TA FIT BACK FROM THE APPLICANS THAT A THEY EAR REALLY	oul webside has also been reorganised than re design in order to give a better over view of the different proceedures and ter we have received ta fit back from the applicans that a they ear really	0.5151515151515151	0.5151515151515151	0.5151515151515151
48	009_20140915.wav.pcm	22	and of your group. So we are not in an Ideal position, but I don’t think procedurally we are in a position to open a debate today. If you have serious concerns, then obviously you should reflect them in the vote today, and I am happy for you to do that. But we won’t be in the a position today, and I think that all groups are aware of the vote today	72	3.2727272727272703	and of your group so we are not in an ideal position but i don t think procedurally we are in a position to open a debate today if you have serious concerns then obviously you should reflect them in the vote today and i am happy for you to do that but we won t be in the a position today and i think that all groups are aware of the vote today	AM AND OF YOUR GROUP SO AM WE'RE NOT IN AN IDEAL POSITION BUT I DON'T THINK PRECEDURALY WE'RE IN A POSITION TO OPEN A DEBATE TO DAY AN IF YOU HAVE SERIOUS CONCERNS THEN OBVIOUSLY YOU SHOULD REFLECT THEM IN THE VOTE TO DAY AND I'M 'M HAPPY FOR YOU TO DO THAT BUT WE WON'T BE IN A IN A POSITION TO DAY M AND I THINK ALL GROUPS ARE AWARE OF THE OF THE VOTE TO DAY	am and of your group so am we re not in an ideal position but i don t think preceduraly we re in a position to open a debate to day an if you have serious concerns then obviously you should reflect them in the vote to day and i m m happy for you to do that but we won t be in a in a position to day m and i think all groups are aware of the of the vote to day	0.5138888888888888	0.5138888888888888	0.5138888888888888
36	454_20140904.wav.pcm	17	I don’t think that there is any citizen who feels that the European Commission has defended their fundamental rights over the past five years, I mean, listen to the examples given by the two gentlemen missus Lebaix.	37	2.17647058823529	i don t think that there is any citizen who feels that the european commission has defended their fundamental rights over the past five years i mean listen to the examples given by the two gentlemen missus lebaix 	I DON'T THINK THERE IS ANY CITIZEN WHO FEELS THAT THE EUROPEAN COMMISSION HAS DEFENDED THEIR FUNDAMENTAL RITES OVER THE LAST FIVE YEARS I MEAN THAT THE LISTEN TO THE EXAMPLES MISSUS LE BY GIVEN BY THE TWO GENTLEME	i don t think there is any citizen who feels that the european commission has defended their fundamental rites over the last five years i mean that the listen to the examples missus le by given by the two gentleme	0.5135135135135135	0.5135135135135136	0.5135135135135135
45	006_20140915.wav.pcm	26	in a situation which is tantamount to civil war, that there is a lot of international attention on Ukraine at the moment, I think we need to be concious about that, thank you. Okay thank you for making the point so succinctly , ehm I am glad somebody raised the point, I think the substantive point you are making is that we are gonna have a vote, albeit one electronic vote on the Ukraine association agreement.	76	2.92307692307692	in a situation which is tantamount to civil war that there is a lot of international attention on ukraine at the moment i think we need to be concious about that thank you okay thank you for making the point so succinctly ehm i am glad somebody raised the point i think the substantive point you are making is that we are gonna have a vote albeit one electronic vote on the ukraine association agreement 	IN A SITUATION WHICH HAS TAND AMOUNT TO CIVIL WAR THAT THERE IS A LOT OF IN FOR INTERNATIONAL ATTENTION ON YOU CRANE AT THE MOMENT HAVIN RELY TO BE CONSCIOUS OF ALL THAUT THANKI BOKE THANK YOU FOR MAKING THE POINT SO SISTENTLY AND A MAM GLAD SOMEBODY RAISED THE POINT I THINK THE SUBSTANTIVE POINT YOUR MAKING IS THAT WE'RE GOING TO HAVE A AVOTES OLL BE AT ONE ELECTRONIC VOTES ON THE A EUCRENE ASSOCIATION AGREEMENT	in a situation which has tand amount to civil war that there is a lot of in for international attention on you crane at the moment havin rely to be conscious of all thaut thanki boke thank you for making the point so sistently and a mam glad somebody raised the point i think the substantive point your making is that we re going to have a avotes oll be at one electronic votes on the a eucrene association agreement	0.5131578947368421	0.5131578947368421	0.5131578947368421
3	019_20140701.wav.pcm	23	so lets do it by acclamation, congratulation mister moraes, I declare the candidate elected by acclamation and ask the new chair to take seat	24	1.0434782608695699	so lets do it by acclamation congratulation mister moraes i declare the candidate elected by acclamation and ask the new chair to take seat	SO A LEX DOID BY ACCLAMATION CONGRATULATION STERMORISE I DECLARE UNTE CANDIDATE ELACTED BY ACCLAMATION AND ASKED ATHE NEW CHAIR TO TAKE SID	so a lex doid by acclamation congratulation stermorise i declare unte candidate elacted by acclamation and asked athe new chair to take sid	0.5	0.5	0.5
35	453_20140904.wav.pcm	19	the attitude of the European commission in standing up for fundamental rights extremely disappointing, and I am I am expressing myself very very carefully. If missus … rightfully says, that the charter of fundamental rights should be, and I quote, realité tangible pour les citoyens	45	2.36842105263158	the attitude of the european commission in standing up for fundamental rights extremely disappointing and i am i am expressing myself very very carefully if missus rightfully says that the charter of fundamental rights should be and i quote realité tangible pour les citoyens	THE ATTITUDE OF THE EUROPEAN COMMISSION IN STANDING UP FOR FUNDAMENTAL RIGHTS EXTREMELY DISAPPOINTING AND I IAM EXPRESSING MYSELF VERY VERY CAREFULLY IF MISSUS LE BY RIGHTFULLY SAYS THAT THE CHARGER OF FUNDAMENTAL RIGHT SHOULD BE AND I QUOTE E REALITE TONGIBE LE POULA SITOYANE	the attitude of the european commission in standing up for fundamental rights extremely disappointing and i iam expressing myself very very carefully if missus le by rightfully says that the charger of fundamental right should be and i quote e realite tongibe le poula sitoyane	0.4888888888888889	0.4888888888888889	0.4888888888888889
23	067_20140723.wav.pcm	17	we feel that the background of this directive is very difficult for us, the legal basis, means, is about fighting illegal immigration as it’s put	25	1.47058823529412	we feel that the background of this directive is very difficult for us the legal basis means is about fighting illegal immigration as it s put	WE FEEL THAT THE AIR BACKGROUND TO THIS DIRECTIVE IS A VERY A DIFFICULT FOR US THE LEGAL BASIS MEANS IS ABOUT FIGHTING A LEGAL IMMIGRATION AS IT'S PUT WELL	we feel that the air background to this directive is a very a difficult for us the legal basis means is about fighting a legal immigration as it s put well	0.48	0.48	0.48
28	072_20140723.wav.pcm	23	that‘s the key thing, while you are talking about more controls and more sanctions, that’s not necessarily the most effective way of dealing with undeclared work, the most effective way is of course to strengthen workers rights so that they are in the condition to actually report employers that exploit them	51	2.21739130434783	that s the key thing while you are talking about more controls and more sanctions that s not necessarily the most effective way of dealing with undeclared work the most effective way is of course to strengthen workers rights so that they are in the condition to actually report employers that exploit them	THAT'S THE KEY THING WHEL E YOU TALKING ABOUT MORE CONTROLS AND MORE SANCTIONS THAT'S NOT NECESSARILY THE MOST A EFFECTIVE WAY OF E DEALING WITH UNDERCLARED WORK THE MOST EFFECTIVE WAY OF DOING THAT IS OF COURSE TO A STRENGTH AND WORKAS RIGHTS SO THAT THEY ARE IN A CONDITION TO AACTUALLY A A REPORT EMPLOYERS THAT EXPLOIT THEM	that s the key thing whel e you talking about more controls and more sanctions that s not necessarily the most a effective way of e dealing with underclared work the most effective way of doing that is of course to a strength and workas rights so that they are in a condition to aactually a a report employers that exploit them	0.47058823529411764	0.4705882352941177	0.4705882352941176
7	023_20140701.wav.pcm	25	we have, I feel rather, sorry, I feel rather emotional to be become chair of the libe committee I would say to the existing members, some of you have paid me the honor of coming today, you know that this committee is one of the most important committees of the legislature, of the mandate, we deal with the, values issues of this house	63	2.52	we have i feel rather sorry i feel rather emotional to be become chair of the libe committee i would say to the existing members some of you have paid me the honor of coming today you know that this committee is one of the most important committees of the legislature of the mandate we deal with the values issues of this house	AND WE HAVE I FEEL RATHER SORRY I FEEL RATHER EMOTIONAL TO BE BECOME A CHEER OF THE LEEBAT COMMITTEE I WOULD SAY TO THE EXISTING MEMBER SOME OF YOU AE A PAID ME THE HONOUR OF COMING E TO DAY AND YOU KNOW THAT THIS COMMITTEE IS ONE OF THE MOST IMPORTANT COMMITTEES OF THE LEGISLATURE N OF THE MANDATES WE DEAL WITH THE ER ME DEAL WITH THE VAUES ISSUES OF THIS SAM HOUSE	and we have i feel rather sorry i feel rather emotional to be become a cheer of the leebat committee i would say to the existing member some of you ae a paid me the honour of coming e to day and you know that this committee is one of the most important committees of the legislature n of the mandates we deal with the er me deal with the vaues issues of this sam house	0.4603174603174603	0.4603174603174603	0.4603174603174603
51	040_20140925.wav.pcm	16	we receive more request for contributions to key meetings giving speeches and presentations. We have more visits to the EMCD headquarters just give you an example, this week before I left the agency yesterday we already had the justice committee of the Danish parliament.	44	2.75	we receive more request for contributions to key meetings giving speeches and presentations we have more visits to the emcd headquarters just give you an example this week before i left the agency yesterday we already had the justice committee of the danish parliament 	WE RECEIVE MORE REQUESTS FOR CONTRIBUTIONS TO KEE MEETINGS GIVINGS GEECHES AND PRESENTATIONS WE HAVE MORE VISITS TO THE EAM CITY HAD CABATOS TUST GIVE HUN EXAMPU THIS WEAR WEEK BEFORE I LEFT THE ANCIENCY YESTERDAY WE ALREADY HAD THE JUSTICE COMMITEE OF THE DANISH PARLIAMENT	we receive more requests for contributions to kee meetings givings geeches and presentations we have more visits to the eam city had cabatos tust give hun exampu this wear week before i left the anciency yesterday we already had the justice commitee of the danish parliament	0.45454545454545453	0.45454545454545453	0.45454545454545453
88	191_20141110.wav.pcm	22	will be able to assess afterwards this complementarity with the actions under national programs, another element important quite new, transnational multi agenccy initiatives with the potential to improve practical cooparation so working with the agencies, practical cooperation an extremely element in the	42	1.90909090909091	will be able to assess afterwards this complementarity with the actions under national programs another element important quite new transnational multi agenccy initiatives with the potential to improve practical cooparation so working with the agencies practical cooperation an extremely element in the	BE ABLE TO ASSESS AFTERWARDS THIS COMPLIMENTARITY WITH THE ACTIONS UNDER NATIONAL PROGLEMS ANOTHER ELEMENT IMPORTANT QUITE NEW EA TWANCE NATIONAL MIGHTY AGEN AGENCY INITIATIVES WITH THEIR POTENTIAL TO IMPROVE A PRACTICAL COPERATION SO WORKING WITH THEIR AGENCIES PRACTICAL COPROTION EXTREME IMPORTANT ELEMENT IN THEIR	be able to assess afterwards this complimentarity with the actions under national proglems another element important quite new ea twance national mighty agen agency initiatives with their potential to improve a practical coperation so working with their agencies practical coprotion extreme important element in their	0.4523809523809524	0.4523809523809524	0.4523809523809524
20	064_20140723.wav.pcm	17	well, I mean, we are talking  twenty nine percent or one percent, that doesn’t really mean a lot to me, I’d really like to understand a little bit more about it, and I also would like to know what kind of effects these kind of controls have.	48	2.82352941176471	well i mean we are talking twenty nine percent or one percent that doesn t really mean a lot to me i d really like to understand a little bit more about it and i also would like to know what kind of effects these kind of controls have 	WELL I MEAN IF YOU TOK ABOUT TWENTY NINE PERCENT OR ONE PER CENT THAT DOESN'T REALLY MEAN A LOT TO ME I I REALLY LIKE TO UNDERSTAND A LITTLE BIT MORE ABOUT IT AND I ALSO WANT TO KNOW WHAT KIND OF EFFECTS THESE CONTROLS HAVE	well i mean if you tok about twenty nine percent or one per cent that doesn t really mean a lot to me i i really like to understand a little bit more about it and i also want to know what kind of effects these controls have	0.44680851063829785	0.44680851063829785	0.4375
