	filenr	motherfile	asr_output	manual_transcription	manually_checked	duration	nr_words	wavfile_location	transcription_location
12	10	20140714	i would also ai would also like to agree the members of the uri committee a libecommittee and to the fom committee but e first of all also a madame martine recerds the commissioner designate	i would also ai would also like to agree the members of the uri committee a libecommittee and to the fom committee but e first of all also a madame martine recerds the commissioner designate	0	19.65	35	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/010_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/010_20140714.wav.pcm.txt
13	11	20140714	and i would like to stress that the coperation between aour committees is very important and because there are areas of common interest among us a and there also areas of responsibility of the commissioner designate	and i would like to stress that the coperation between aour committees is very important and because there are areas of common interest among us a and there also areas of responsibility of the commissioner designate	0	18.65	36	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/011_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/011_20140714.wav.pcm.txt
14	12	20140714	that overlap a with the field of  of a responsibility of the guri committee a namely a the field of civil justice including family law and private international law	that overlap a with the field of  of a responsibility of the guri committee a namely a the field of civil justice including family law and private international law	0	15.45	30	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/012_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/012_20140714.wav.pcm.txt
15	13	20140714	and these are the errias that the you remembers are going to focuss in there er questions i am sure madame that e after your election the coperition with yourself is going to be as fruitful as it was in the past with e madame redincuin she was	and these are the errias that the you remembers are going to focuss in there er questions i am sure madame that e after your election the coperition with yourself is going to be as fruitful as it was in the past with e madame redincuin she was	0	20.65	48	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/013_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/013_20140714.wav.pcm.txt
16	14	20140714	in a office being short of time let me just past the floor to madame algerasia peres from the farm committee thank you that he as precedent thank you very much chairman good afternoon to old colleagues and of course	in a office being short of time let me just past the floor to madame algerasia peres from the farm committee thank you that he as precedent thank you very much chairman good afternoon to old colleagues and of course	0	19.95	40	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/014_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/014_20140714.wav.pcm.txt
17	16	20140714	it's one that is that characterizes all european policy making and we believe that generary quality is absolutely fundamental as is fighting against gender bases violence and several different darciers such as maternity leave and the dacier on women on the boards of companies are all extremely fundamental the difficulties that women are fighting	it's one that is that characterizes all european policy making and we believe that generary quality is absolutely fundamental as is fighting against gender bases violence and several different darciers such as maternity leave and the dacier on women on the boards of companies are all extremely fundamental the difficulties that women are fighting	0	27.05	54	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/016_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/016_20140714.wav.pcm.txt
18	17	20140714	in these times of christis particularly matters relating to esextual and reproductive health and writes these are key issues for women and we believe that the various questions that the coordinators bring will reflect that over the course of this afternoon i won't take up any more time let's move on to the speakers from the different committees that will have the flor thank you	in these times of christis particularly matters relating to esextual and reproductive health and writes these are key issues for women and we believe that the various questions that the coordinators bring will reflect that over the course of this afternoon i won't take up any more time let's move on to the speakers from the different committees that will have the flor thank you	0	21.15	65	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/017_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/017_20140714.wav.pcm.txt
19	18	20140714	thank you very much rarche and madam rycart we now have the opening of the a questions and youre going to make an initial statement and and for the leba committee of s fundamental rights but probly it was extremely important and youcan maker	thank you very much rarche and madam rycart we now have the opening of the a questions and youre going to make an initial statement and and for the leba committee of s fundamental rights but probly it was extremely important and youcan maker	0	17.75	44	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/018_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/018_20140714.wav.pcm.txt
20	305	2014072201	foreign affairs ministers and home affairs ministers and i would agree with the council when it says that it's vital that we in fact apply the more for more principl in other wars giving more to those who do more	foreign affairs ministers and home affairs ministers and i would agree with the council when it says that it's vital that we in fact apply the more for more principl in other wars giving more to those who do more	0	15.75	40	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/305_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/305_2014072201.wav.pcm.txt
21	306	2014072201	and we therefore do need a helistic approach towards mobility and migration and that's why we do need to reenforcement to extend the programmes that we have forreginal protection in the areas that migrants originally come from we need to reenforce closer co operation with yu an h c r	and we therefore do need a helistic approach towards mobility and migration and that's why we do need to reenforcement to extend the programmes that we have forreginal protection in the areas that migrants originally come from we need to reenforce closer co operation with yu an h c r	0	25.25	50	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/306_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/306_2014072201.wav.pcm.txt
22	307	2014072201	and we also need i believe to increase the resources that are allicated to resettlement internationally	and we also need i believe to increase the resources that are allicated to resettlement internationally	0	16.15	16	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/307_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/307_2014072201.wav.pcm.txt
23	308	2014072201	because as things stand we are seeing the syrian tragedy continuing and then to answer another question police co operation that's also vital because police co operation is an essential component when trying to combat human trafficing now you know that	because as things stand we are seeing the syrian tragedy continuing and then to answer another question police co operation that's also vital because police co operation is an essential component when trying to combat human trafficing now you know that	0	22.45	41	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/308_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/308_2014072201.wav.pcm.txt
24	309	2014072201	when in fact i look at many of your questions the only answer is that for us to have more clarity and a more uniform approach from the member states because the member states have often taken decisions but they don't necessarily see things in the same light and as such they make it difficult for a uniform approach to be adopted on sincertain areas will be working on seppale will be working on europaul will be working on eurosir all of the agencies	when in fact i look at many of your questions the only answer is that for us to have more clarity and a more uniform approach from the member states because the member states have often taken decisions but they don't necessarily see things in the same light and as such they make it difficult for a uniform approach to be adopted on sincertain areas will be working on seppale will be working on europaul will be working on eurosir all of the agencies	0	29.35	84	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/309_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/309_2014072201.wav.pcm.txt
25	310	2014072201	because we shouldn't forget the strategic role being played by the agencies in practical and operational terms implementing the decisions taken at different institutional levels of the european unian and then on one agency frontec various questions were asked such as what we expected and what we were intending to do	because we shouldn't forget the strategic role being played by the agencies in practical and operational terms implementing the decisions taken at different institutional levels of the european unian and then on one agency frontec various questions were asked such as what we expected and what we were intending to do	0	23.55	51	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/310_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/310_2014072201.wav.pcm.txt
26	311	2014072201	with prontex well the question of borders will be of crucial importance and we feel it is of crucial importance to the future of the union that means then that the agency responsible for implementing our programmes and objectives can't remain a small agency with just a few resources we need a political choice here	with prontex well the question of borders will be of crucial importance and we feel it is of crucial importance to the future of the union that means then that the agency responsible for implementing our programmes and objectives can't remain a small agency with just a few resources we need a political choice here	0	28.55	55	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/311_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/311_2014072201.wav.pcm.txt
27	312	2014072201	and this is something parliament will be involved in when it comes to the budget and reinforcing the instruments available to the european union for achieving its goals and frontex is one of those then emigration missus sipple and others did ask what we should be doing i think that in practical terms we should be	and this is something parliament will be involved in when it comes to the budget and reinforcing the instruments available to the european union for achieving its goals and frontex is one of those then emigration missus sipple and others did ask what we should be doing i think that in practical terms we should be	0	26.65	56	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/312_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/312_2014072201.wav.pcm.txt
28	313	2014072201	implementing everything that weres established in earlier presidencies and miss fixdrop is aware of the fact because she's raporteur those decisions that have to do with workers an students and	implementing everything that weres established in earlier presidencies and miss fixdrop is aware of the fact because she's raporteur those decisions that have to do with workers an students and	0	23.25	30	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/313_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/313_2014072201.wav.pcm.txt
29	314	2014072201	in suring that europe dars act as the centre of attraction because of its culture and research and study possibilities and potential moving more specifically on to terroism we are fully aware of the fact that this is an extremely sensitive issue because	in suring that europe dars act as the centre of attraction because of its culture and research and study possibilities and potential moving more specifically on to terroism we are fully aware of the fact that this is an extremely sensitive issue because	0	22.55	43	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072201/314_2014072201.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072201/314_2014072201.wav.pcm.txt
30	181	2014072202	to engage with the colleagues in other committees interms of seeing that we actually join up and activitees and attaxe me to another point which i want to make richard som also a general point but which as linked to the whole question of the common asylum system but also a a lot of other things we have a tendency at te moment	to engage with the colleagues in other committees interms of seeing that we actually join up and activitees and attaxe me to another point which i want to make richard som also a general point but which as linked to the whole question of the common asylum system but also a a lot of other things we have a tendency at te moment	0	24.55	63	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/181_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/181_2014072202.wav.pcm.txt
31	182	2014072202	with all the agencies which are active in the field of home affairs to consider these agencies as being separate from us but policies are defined in brussels	with all the agencies which are active in the field of home affairs to consider these agencies as being separate from us but policies are defined in brussels	0	16.85	28	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/182_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/182_2014072202.wav.pcm.txt
32	183	2014072202	by you by the council on proposal of the commission and need to be implemented by agencies and i think we all have a big job also to do in terms of making sure that the agencies work together with us	by you by the council on proposal of the commission and need to be implemented by agencies and i think we all have a big job also to do in terms of making sure that the agencies work together with us	0	20.35	41	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/183_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/183_2014072202.wav.pcm.txt
33	184	2014072202	and iam not criticising them at all en times of saying that re they're doing something different but i think we we we are not yet even pooling the falsest that we have  in in a more intelligent way than ther  e m ane we could do that perhaps with it with a greater effect e in terms of a ben using e and then having the debate of altera what else	and iam not criticising them at all en times of saying that re they're doing something different but i think we we we are not yet even pooling the falsest that we have  in in a more intelligent way than ther  e m ane we could do that perhaps with it with a greater effect e in terms of a ben using e and then having the debate of altera what else	0	27.95	74	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/184_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/184_2014072202.wav.pcm.txt
34	185	2014072202	we need a gairman i have a at i see a lot of er points on which i should be ere giving you conclete answers to em i don't think it would be practical now that i go through each of your questions emespecially on such questions where i even have to pass e which was the spriver to	we need a gairman i have a at i see a lot of er points on which i should be ere giving you conclete answers to em i don't think it would be practical now that i go through each of your questions emespecially on such questions where i even have to pass e which was the spriver to	0	24.55	59	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/185_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/185_2014072202.wav.pcm.txt
35	186	2014072202	te organization or far off off a a abcercian rescue am er but most questions i think e am i could answer but i think i would take about three quarters of nald to do so in would prefer to certain extent	te organization or far off off a a abcercian rescue am er but most questions i think e am i could answer but i think i would take about three quarters of nald to do so in would prefer to certain extent	0	16.95	42	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/186_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/186_2014072202.wav.pcm.txt
36	187	2014072202	eh to take a little bit of time individually with you discuss this matter understand your e you better and then e come back and have previous  in in in in in e future session eh when we do a stronger concentration and i give you some more con make a suggestion an mean i am going to iam going to discuss with  cordnitesi response am and bring this back in septemberis discussion because we have to have some contry way forward for	eh to take a little bit of time individually with you discuss this matter understand your e you better and then e come back and have previous  in in in in in e future session eh when we do a stronger concentration and i give you some more con make a suggestion an mean i am going to iam going to discuss with  cordnitesi response am and bring this back in septemberis discussion because we have to have some contry way forward for	0	29.75	85	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/187_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/187_2014072202.wav.pcm.txt
37	188	2014072202	our sihtes so have its gested be that you come back and that you retain the notes because i think there were some specific questions that needed an answer ho very more than written is is that you come and and keep i that you've made you've made quite detailed notes with thear the members indicated so and we made some notes as well sif if you would return	our sihtes so have its gested be that you come back and that you retain the notes because i think there were some specific questions that needed an answer ho very more than written is is that you come and and keep i that you've made you've made quite detailed notes with thear the members indicated so and we made some notes as well sif if you would return	0	22.55	69	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/188_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/188_2014072202.wav.pcm.txt
38	189	2014072202	an in answer those specific questions because i know you be happy to do that ecause we have actually ron evertime anyway on this item so f you do that we will also be ready with o a proposal from the cordnates an myself herefore away forward for us on the task for some other concrete steps so i  suggest that we do that and en thus calling to needed some contry answers will get them in september that sir	an in answer those specific questions because i know you be happy to do that ecause we have actually ron evertime anyway on this item so f you do that we will also be ready with o a proposal from the cordnates an myself herefore away forward for us on the task for some other concrete steps so i  suggest that we do that and en thus calling to needed some contry answers will get them in september that sir	0	25.35	81	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/189_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/189_2014072202.wav.pcm.txt
39	190	2014072202	that's te ka yom very happy to do so i am even happy e  to meet some of the colleagues sir individually  i will hopefully be building up a working relationship with all of you ean n for those who who want tho i will even stay outside and give you some answers concrete answers somnnuncertain elements but i think it would be good to have an overall debaten in september on these matters	that's te ka yom very happy to do so i am even happy e  to meet some of the colleagues sir individually  i will hopefully be building up a working relationship with all of you ean n for those who who want tho i will even stay outside and give you some answers concrete answers somnnuncertain elements but i think it would be good to have an overall debaten in september on these matters	0	28.95	76	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2014072202/190_2014072202.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2014072202/190_2014072202.wav.pcm.txt
40	64	20140723	well i mean if you tok about twenty nine percent or one per cent that doesn't really mean a lot to me i i really like to understand a little bit more about it and i also want to know what kind of effects these controls have	well i mean if you tok about twenty nine percent or one per cent that doesn't really mean a lot to me i i really like to understand a little bit more about it and i also want to know what kind of effects these controls have	0	16.05	47	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/064_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/064_20140723.wav.pcm.txt
41	65	20140723	for a few years i was also an employer i was a director of e company and the quantity of te inspections doesn't necessarily give you an idea of where ther people are working legally or illegally i'd like to know how these ire a controls atually take place	for a few years i was also an employer i was a director of e company and the quantity of te inspections doesn't necessarily give you an idea of where ther people are working legally or illegally i'd like to know how these ire a controls atually take place	0	25.25	49	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/065_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/065_20140723.wav.pcm.txt
42	66	20140723	dear missus beorg and yet eh you evrongui well on behalf of the gooy and giel group	dear missus beorg and yet eh you evrongui well on behalf of the gooy and giel group	0	21.65	17	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/066_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/066_20140723.wav.pcm.txt
43	67	20140723	we feel that the air background to this directive is a very a difficult for us the legal basis means is about fighting a legal immigration as it's put well	we feel that the air background to this directive is a very a difficult for us the legal basis means is about fighting a legal immigration as it's put well	0	16.75	30	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/067_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/067_20140723.wav.pcm.txt
44	68	20140723	i am glad that the inside the directive we are strengthening migrant's rights but when the commission talks about the various challenges that exist in implementing the directive the problem is precisely in the area of te workers rights	i am glad that the inside the directive we are strengthening migrant's rights but when the commission talks about the various challenges that exist in implementing the directive the problem is precisely in the area of te workers rights	0	21.45	39	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/068_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/068_20140723.wav.pcm.txt
45	69	20140723	we've contacted a number of organizations that work in with people in a sivilar situation and they say that the risks areof great first of all that you get punished by your employer as a result	we've contacted a number of organizations that work in with people in a sivilar situation and they say that the risks areof great first of all that you get punished by your employer as a result	0	16.25	36	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/069_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/069_20140723.wav.pcm.txt
46	70	20140723	thatyou are exposed to a a an to imprisonment or deportation and you are also expected to a an what or you mayh be in a danger of being er handed in by your employer	thatyou are exposed to a a an to imprisonment or deportation and you are also expected to a an what or you mayh be in a danger of being er handed in by your employer	0	21.25	35	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/070_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/070_20140723.wav.pcm.txt
47	71	20140723	now it h's been very difficult for some of these workers to get a unpaid wages and things like that after they've for fallen victim to this kind of situation so it's important we should be strengthening the rights for a undocumented immigrants	now it h's been very difficult for some of these workers to get a unpaid wages and things like that after they've for fallen victim to this kind of situation so it's important we should be strengthening the rights for a undocumented immigrants	0	16.95	43	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140723/071_20140723.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140723/071_20140723.wav.pcm.txt
